accreditation_code,power_station_name,state,installed_capacity,postcode,fuel_source_s,accreditation_start_date,suspension_status,baseline_mwh,comment,accreditation_start_year,power_station_name_key,power_station_name_canonical,power_station_name_core,fuel_family,source_file
SRPXVCA5,SM Cold Storage - Solar - VIC,VIC,0.588,3076,Solar,2022-11-22,Unsuspended,0,,2022,sm cold storage solar vic,sm cold storage,sm cold storage,solar,cer_historical_accredited_power_stations.csv
SRPVVC52,SV - Eltham - Solar - VIC,VIC,0.1842,3095,Solar,2017-09-27,Unsuspended,0,,2017,sv eltham solar vic,sv eltham,sv eltham,solar,cer_historical_accredited_power_stations.csv
WD00VC29,Salt Creek Wind Farm - VIC,VIC,54.0,3272,Wind,2018-06-06,Unsuspended,0,,2018,salt creek wind farm vic,salt creek wind farm,salt creek,wind,cer_historical_accredited_power_stations.csv
SRPVVCJ7,San Carlo Home for the Aged - Solar - VIC,VIC,0.2321,3752,Solar,2019-05-10,Unsuspended,0,,2019,san carlo home for the aged solar vic,san carlo home for the aged,san carlo home for the aged,solar,cer_historical_accredited_power_stations.csv
SRPVVC81,Scentre Group Plenty Valley - Solar - VIC,VIC,0.3024,3082,Solar,2018-03-23,Unsuspended,0,,2018,scentre group plenty valley solar vic,scentre group plenty valley,scentre group plenty valley,solar,cer_historical_accredited_power_stations.csv
SRPVVCJ6,Scienceworks - Solar [w SGU] - VIC,VIC,0.3784,3015,Solar,2019-05-08,Unsuspended,0,,2019,scienceworks solar w sgu vic,scienceworks,scienceworks,solar,cer_historical_accredited_power_stations.csv
SRPVVCI2,Sealane Heidelberg West Solar - VIC,VIC,0.3764,3081,Solar,2019-03-12,Unsuspended,0,,2019,sealane heidelberg west solar vic,sealane heidelberg west solar,sealane heidelberg west,solar,cer_historical_accredited_power_stations.csv
SRPVVC89,Select Produce Korumburra Solar - VIC,VIC,0.2555,3950,Solar,2018-04-27,Unsuspended,0,,2018,select produce korumburra solar vic,select produce korumburra solar,select produce korumburra,solar,cer_historical_accredited_power_stations.csv
SRPVVC51,Shamic Sheetmetal Solar VIC,VIC,0.3052,3136,Solar,2017-09-28,Unsuspended,0,,2017,shamic sheetmetal solar vic,shamic sheetmetal solar,shamic sheetmetal,solar,cer_historical_accredited_power_stations.csv
BEBGVC16,Shepparton One Sewage Gas - VIC,VIC,1.1,3631,Biomass,2009-02-20,Unsuspended,0,,2009,shepparton one sewage gas vic,shepparton one sewage gas,shepparton one sewage gas,bioenergy,cer_historical_accredited_power_stations.csv
SRPXVCM0,Shepparton Private Hospital - 318kW - Solar w SGU - VIC,VIC,0.318,3630,Solar,2023-11-29,Unsuspended,0,,2023,shepparton private hospital 318kw solar w sgu vic,shepparton private hospital 318kw,shepparton private hospital 318kw,solar,cer_historical_accredited_power_stations.csv
SRPXVC29,Sigma Healthcare Truganina - Solar - VIC,VIC,0.5002,3029,Solar,2021-06-17,Unsuspended,0,,2021,sigma healthcare truganina solar vic,sigma healthcare truganina,sigma healthcare truganina,solar,cer_historical_accredited_power_stations.csv
SRPXVCH4,Signature Care Officer Community Aged Care - Solar w SGU - VIC,VIC,0.1998,3809,Solar,2023-11-28,Unsuspended,0,,2023,signature care officer community aged care solar w sgu vic,signature care officer community aged care,signature care officer community aged care,solar,cer_historical_accredited_power_stations.csv
HYMIVC09,Silvan Mini Hydro - VIC,VIC,2.055,3795,Hydro,2010-02-01,Unsuspended,0,,2010,silvan mini hydro vic,silvan mini hydro,silvan mini,hydro,cer_historical_accredited_power_stations.csv
BEBGVC14,Smythesdale LFG - VIC,VIC,1.578,3351,Biomass,2008-01-08,Unsuspended,0,,2008,smythesdale lfg vic,smythesdale lfg,smythesdale lfg,bioenergy,cer_historical_accredited_power_stations.csv
SRPXVC36,Somers SRP035 Solar VIC,VIC,0.3203,3927,Solar,2021-08-12,Unsuspended,0,,2021,somers srp035 solar vic,somers srp035 solar,somers srp035,solar,cer_historical_accredited_power_stations.csv
SRPXVCK4,Somerton Pump Station - Solar - VIC,VIC,0.1536,3048,Solar,2024-03-04,Unsuspended,0,,2024,somerton pump station solar vic,somerton pump station,somerton pump,solar,cer_historical_accredited_power_stations.csv
